1: 50, 964;
2: 110, 964;
3: 180, 964;
4: 240, 964;
5: 295, 964;
6: 344, 964;
7: 395, 964;
8: 460, 964;
9: 527, 964;
10: 585, 964;
11: 50, 895;
12: 110, 895;
13: 180, 895;
14: 240, 895;
15: 295, 895;
16: 344, 895;
17: 395, 895;
18: 460, 895;
19: 527, 895;
20: 585, 895;
21: 50, 807;
22: 110, 807;
23: 180, 807;
24: 240, 807;
25: 295, 807;
26: 344, 807;
27: 395, 807;
28: 460, 807;
29: 527, 807;
30: 585, 807;
31: 50, 725;
32: 110, 725;
33: 180, 725;
34: 240, 725;
35: 295, 725;
36: 344, 725;
37: 395, 725;
38: 460, 725;
39: 527, 725;
40: 585, 725;
41: 50, 652;
42: 110, 652;
43: 180, 652;
44: 240, 652;
45: 295, 652;
46: 344, 652;
47: 395, 652;
48: 460, 652;
49: 527, 652;
50: 585, 652;
51: 50, 560;
52: 110, 560;
53: 180, 560;
54: 240, 560;
55: 295, 560;
56: 344, 560;
57: 395, 560;
58: 460, 560;
59: 527, 560;
60: 585, 560;
61: 50, 480;
62: 110, 480;
63: 180, 480;
64: 240, 480;
65: 295, 480;
66: 344, 480;
67: 395, 480;
68: 460, 480;
69: 527, 480;
70: 585, 480;
71: 50, 380;
72: 110, 380;
73: 180, 380;
74: 240, 380;
75: 295, 380;
76: 344, 380;
77: 395, 380;
78: 460, 380;
79: 527, 380;
80: 585, 380;
81: 50, 304;
82: 110, 304;
83: 180, 304;
84: 240, 304;
85: 295, 304;
86: 344, 304;
87: 395, 304;
88: 460, 304;
89: 527, 304;
90: 585, 304;
91: 180, 240;
92: 460, 240;
93: 585, 120;
94: 585, 165;
95: 585, 215;
96: 585, 265;
97: 680, 480;
98: 885, 480;
99: 950, 510;
100: 950, 580;
101: 950, 640;
102: 760, 735;
103: 820, 735;
104: 875, 735;
105: 950, 735;
106: 1010, 735;
107: 1065, 735;
108: 1115, 735;
109: 1170, 735;
110: 1225, 735;
111: 1280, 735;
112: 1345, 735;
113: 1413, 735;
114: 1467, 735;
115: 1520, 735;
116: 760, 830;
117: 820, 830;
118: 875, 830;
119: 950, 830;
120: 1010, 830;
121: 1065, 830;
122: 1115, 830;
123: 1170, 830;
124: 1225, 830;
125: 1280, 830;
126: 1345, 830;
127: 1413, 830;
128: 1467, 830;
129: 1520, 830;
130: 760, 905;
131: 820, 905;
132: 875, 905;
133: 950, 905;
134: 1010, 905;
135: 1065, 905;
136: 1115, 905;
137: 1170, 905;
138: 1225, 905;
139: 1280, 905;
140: 1345, 905;
141: 1413, 905;
142: 1467, 905;
143: 1520, 905;
144: 760, 985;
145: 820, 985;
146: 875, 985;
147: 950, 985;
148: 1010, 985;
149: 1065, 985;
150: 1115, 985;
151: 1170, 985;
152: 1225, 985;
153: 1280, 985;
154: 1345, 985;
155: 1413, 985;
156: 1467, 985;
157: 1520, 985;
158: 760, 1065;
159: 820, 1065;
160: 875, 1065;
161: 950, 1065;
162: 1010, 1065;
163: 1065, 1065;
164: 1115, 1065;
165: 1170, 1065;
166: 1225, 1065;
167: 1280, 1065;
168: 1345, 1065;
169: 1413, 1065;
170: 1467, 1065;
171: 1520, 1065;
172: 760, 1140;
173: 820, 1140;
174: 875, 1140;
175: 950, 1140;
176: 1010, 1140;
177: 1065, 1140;
178: 1115, 1140;
179: 1170, 1140;
180: 1225, 1140;
181: 1280, 1140;
182: 1345, 1140;
183: 1413, 1140;
184: 1467, 1140;
185: 1520, 1140;
186: 760, 1225;
187: 820, 1225;
188: 875, 1225;
189: 950, 1225;
190: 1010, 1225;
191: 1065, 1225;
192: 1115, 1225;
193: 1170, 1225;
194: 1225, 1225;
195: 1280, 1225;
196: 1345, 1225;
197: 1413, 1225;
198: 1467, 1225;
199: 1520, 1225;
200: 1080, 440;
201: 1140, 440;
202: 1195, 440;
203: 1245, 440;
204: 1295, 440;
205: 1345, 440;
206: 1080, 510;
207: 1245, 510;
208: 1345, 510;
209: 1345, 560;
210: 1345, 700;
